state,fips,status,income,state_tax,fed_tax
Alabama,1,single,50000,2210.0,5928.75
Alaska,2,single,50000,0,5928.75
Arizona,4,single,50000,1220.7712,5928.75
Arkansas,5,single,50000,2445.34,5928.75
California,6,single,50000,1898.35,5928.75
Colorado,8,single,50000,2315.0,5928.75
Connecticut,9,single,50000,1625.0,5928.75
Delaware,10,single,50000,2195.915,5928.75
Florida,12,single,50000,0,5928.75
Georgia,13,single,50000,2330.0,5928.75
Hawaii,15,single,50000,3017.048,5928.75
Idaho,16,single,50000,2459.25,5928.75
Illinois,17,single,50000,2290.0,5928.75
Indiana,18,single,50000,1615.0,5928.75
Iowa,19,single,50000,2726.9064,5928.75
Kansas,20,single,50000,1797.5,5928.75
Kentucky,21,single,50000,2580.86,5928.75
Louisiana,22,single,50000,1710.0,5928.75
Maine,23,single,50000,2312.375,5928.75
Maryland,24,single,50000,1923.5,5928.75
Massachusetts,25,single,50000,2341.5,5928.75
Michigan,26,single,50000,1957.125,5928.75
Minnesota,27,single,50000,2157.135,5928.75
Mississippi,28,single,50000,1860.0,5928.75
Missouri,29,single,50000,2211.0,5928.75
Montana,30,single,50000,2329.48,5928.75
Nebraska,31,single,50000,2203.7232,5928.75
Nevada,32,single,50000,0,5928.75
New Hampshire,33,single,50000,2380.0,5928.75
New Jersey,34,single,50000,1131.875,5928.75
New Mexico,35,single,50000,1489.4,5928.75
New York,36,single,50000,2351.2,5928.75
North Carolina,37,single,50000,2812.5,5928.75
North Dakota,38,single,50000,763.105,5928.75
Ohio,39,single,50000,1302.6385,5928.75
Oklahoma,40,single,50000,1997.375,5928.75
Oregon,41,single,50000,4055.91,5928.75
Pennsylvania,42,single,50000,1535.0,5928.75
Rhode Island,44,single,50000,1293.75,5928.75
South Carolina,45,single,50000,2588.5,5928.75
South Dakota,46,single,50000,0,5928.75
Tennessee,47,single,50000,2925.0,5928.75
Texas,48,single,50000,0,5928.75
Utah,49,single,50000,2215.0,5928.75
Vermont,50,single,50000,1807.075,5928.75
Virginia,51,single,50000,2338.05,5928.75
Washington,53,single,50000,0,5928.75
West Virginia,54,single,50000,1935.0,5928.75
Wisconsin,55,single,50000,2271.71,5928.75
Wyoming,56,single,50000,0,5928.75
Alabama,1,single,100000,4710.0,18493.25
Alaska,2,single,100000,0,18493.25
Arizona,4,single,100000,3259.5208,18493.25
Arkansas,5,single,100000,5945.34,18493.25
California,6,single,100000,6506.672,18493.25
Colorado,8,single,100000,4630.0,18493.25
Connecticut,9,single,100000,4307.5,18493.25
Delaware,10,single,100000,5409.275,18493.25
Florida,12,single,100000,0,18493.25
Georgia,13,single,100000,5330.0,18493.25
Hawaii,15,single,100000,7133.34,18493.25
Idaho,16,single,100000,6159.25,18493.25
Illinois,17,single,100000,4790.0,18493.25
Indiana,18,single,100000,3315.0,18493.25
Iowa,19,single,100000,7013.2804,18493.25
Kansas,20,single,100000,4247.5,18493.25
Kentucky,21,single,100000,5526.2,18493.25
Louisiana,22,single,100000,4690.0,18493.25
Maine,23,single,100000,6287.375,18493.25
Maryland,24,single,100000,4298.5,18493.25
Massachusetts,25,single,100000,4966.5,18493.25
Michigan,26,single,100000,4082.125,18493.25
Minnesota,27,single,100000,5735.895,18493.25
Mississippi,28,single,100000,4360.0,18493.25
Missouri,29,single,100000,5211.0,18493.25
Montana,30,single,100000,5779.48,18493.25
Nebraska,31,single,100000,5623.7232,18493.25
Nevada,32,single,100000,0,18493.25
New Hampshire,33,single,100000,4880.0,18493.25
New Jersey,34,single,100000,4084.5,18493.25
New Mexico,35,single,100000,3939.4,18493.25
New York,36,single,100000,5604.9,18493.25
North Carolina,37,single,100000,6552.5,18493.25
North Dakota,38,single,100000,2191.86,18493.25
Ohio,39,single,100000,3434.7835,18493.25
Oklahoma,40,single,100000,4622.375,18493.25
Oregon,41,single,100000,8555.91,18493.25
Pennsylvania,42,single,100000,3070.0,18493.25
Rhode Island,44,single,100000,3427.75,18493.25
South Carolina,45,single,100000,6088.5,18493.25
South Dakota,46,single,100000,0,18493.25
Tennessee,47,single,100000,5925.0,18493.25
Texas,48,single,100000,0,18493.25
Utah,49,single,100000,4715.0,18493.25
